"Piso en avenida de Nostra Senyora del Vinyet, 51, Vinyet-Terramar-Can Pei-Can Girona, Sitges",2.000,€/mes,5 ,550 ,Bajo interior sin ascensor
"Piso en Gavà Mar, Gavà",2.200,€/mes,2 ,86 ,12 abr 
"Piso en calle de Fluvià, Barcelona, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1.700,€/mes,2 ,75 ,18ª planta exterior con ascensor
"Piso en El Gòtic, Barcelona",3.200,€/mes,2 ,115 ,  con ascensor
"Piso en calle Villarroel, Barcelona, 24, Sant Antoni, Barcelona",900,€/mes,1 ,50 ,6ª planta exterior con ascensor
"Estudio en La Bordeta, Barcelona",700,€/mes,40 ,1ª planta ,08 abr 
"Piso en calle Navàs de Tolosa, Barcelona, 273, El Clot, Barcelona",1.700,€/mes,3 ,120 ,Bajo exterior con ascensor
"Piso en El Camp d'En Grassot i Gràcia Nova, Barcelona",1.400,€/mes,4 ,99 ,  con ascensor
"Piso en Les Botigues de Sitges, Sitges",1.100,€/mes,1 ,70 ,Bajo exterior con ascensor
"Piso en El Poblenou, Barcelona",2.000,€/mes,3 ,79 ,5ª planta  con ascensor
"Piso en MALLORCA, La Sagrada Família, Barcelona",1.975,€/mes,2 ,95 ,5ª planta exterior con ascensor
"Piso en avenida Diagonal, Barcelona, Les Corts, Barcelona",1.700,€/mes,3 ,108 ,7ª planta exterior con ascensor
"Ático en avenida Joan XXIII, 13, Centre, El Masnou",1.500,€/mes,2 ,130 ,7ª planta  con ascensor
"Piso en El Gòtic, Barcelona",2.600,€/mes,3 ,110 ,1ª planta  con ascensor
"Piso en calle Vilardell, Hostafrancs, Barcelona",1.150,€/mes,3 ,80 ,6ª planta exterior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",7.000,€/mes,2 ,136 ,1ª planta  con ascensor
"Ático en calle d'Aldana, Barcelona, Sant Antoni, Barcelona",1.000,€/mes,1 ,80 ,8ª planta exterior con ascensor
"Piso en Les Corts, Barcelona",1.200,€/mes,2 ,50 ,1ª planta  con ascensor
"Piso en COLL DEL PORTELL, La Salut, Barcelona",1.000,€/mes,2 ,78 ,1ª planta exterior con ascensor
"Piso en calle de Bertran, Barcelona, El Putxet i el Farró, Barcelona",1.000,€/mes,2 ,70 ,3ª planta exterior con ascensor
"Piso en plaza de Comas, Barcelona, 18, Les Corts, Barcelona",1.200,€/mes,4 ,100 ,5ª planta exterior con ascensor
"Piso en Rosari, Les Tres Torres, Barcelona",1.200,€/mes,3 ,70 ,1ª planta exterior con ascensor
"Piso en calle dels Enamorats, Barcelona, 21, La Sagrada Família, Barcelona",1.400,€/mes,3 ,77 ,1ª planta exterior con ascensor
"Piso en calle de Calvet, Sant Gervasi - Galvany, Barcelona",1.990,€/mes,4 ,140 ,6ª planta exterior con ascensor
"Piso en avenida Meridiana, Barcelona, Sant Andreu, Barcelona",800,€/mes,3 ,65 ,3ª planta exterior con ascensor
"Piso en La Bordeta, Barcelona",2.600,€/mes,4 ,148 ,7ª planta  con ascensor
"Piso en calle Nou de la Rambla, El Poble Sec - Parc de Montjuïc, Barcelona",1.150,€/mes,1 ,62 ,Bajo exterior con ascensor
"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona",2.600,€/mes,4 ,180 ,1ª planta  con ascensor
"Piso en calle d'En Fontrodona, Barcelona, El Poble Sec - Parc de Montjuïc, Barcelona",800,€/mes,2 ,50 ,Entreplanta interior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",2.200,€/mes,1 ,68 ,1ª planta 
"Chalet adosado en TIL·LERS, Pedralbes, Barcelona",8.000,€/mes,5 ,410 ,25 minutos
"Piso en La Nova Esquerra de l'Eixample, Barcelona",1.650,€/mes,2 ,95 ,1ª planta  con ascensor
"Piso en Ausiàs Marc, El Fort Pienc, Barcelona",1.300,€/mes,2 ,53 ,4ª planta exterior con ascensor
"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",2.750,€/mes,2 ,80 ,1ª planta  con ascensor
"Piso en Volpelleres, Sant Cugat del Vallès",1.800,€/mes,3 ,100 ,Bajo exterior con ascensor
"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",2.750,€/mes,3 ,100 ,1ª planta  con ascensor
Piso en Santa Perpètua de Mogoda,700,€/mes,3 ,57 ,1ª planta exterior sin ascensor
"Piso en Domes, Centre - Estació, Sant Cugat del Vallès",680,€/mes,1 ,45 ,1ª planta exterior sin ascensor
Dúplex en Santa Perpètua de Mogoda,980,€/mes,5 ,128 ,2ª planta exterior con ascensor
"Piso en El Besòs, Barcelona",1.950,€/mes,2 ,80 ,6ª planta exterior con ascensor
"Piso en Gran Via de les Corts Catalanes, Sant Antoni, Barcelona",1.850,€/mes,3 ,96 ,4ª planta exterior con ascensor
"Piso en El Gòtic, Barcelona",5.500,€/mes,4 ,249 ,1ª planta  con ascensor
"Piso en calle de Modolell, Barcelona, Sant Gervasi - Galvany, Barcelona",1.200,€/mes,1 ,75 ,1ª planta exterior con ascensor
"Piso en Vila de Gràcia, Barcelona",2.300,€/mes,3 ,110 ,1ª planta  con ascensor
"Piso en Passatge de Font, Barcelona, 12, La Sagrada Família, Barcelona",1.300,€/mes,2 ,81 ,4ª planta exterior sin ascensor
"Piso en El Poblenou, Barcelona",1.350,€/mes,1 ,63 ,1ª planta 
"Piso en Marina, El Fort Pienc, Barcelona",1.150,€/mes,3 ,85 ,5ª planta exterior con ascensor
"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona",1.100,€/mes,2 ,70 ,2ª planta 
"Piso en Provençals del Poblenou, Barcelona",1.200,€/mes,1 ,80 ,Bajo exterior con ascensor
"Piso en El Gòtic, Barcelona",1.800,€/mes,2 ,120 ,4ª planta  con ascensor
"Piso en calle de Cristóbal de Moura, Barcelona, 30, Provençals del Poblenou, Barcelona",1.250,€/mes,2 ,67 ,Entreplanta exterior sin ascensor
"Piso en La Dreta de l'Eixample, Barcelona",1.500,€/mes,3 ,100 ,7ª planta  con ascensor
"Chalet adosado en calle de Santa Rosalia, Barcelona, 108, La Teixonera, Barcelona",1.600,€/mes,3 ,111 ,47 minutos
"Piso en La Dreta de l'Eixample, Barcelona",1.600,€/mes,3 ,128 ,  con ascensor
"Casa o chalet independiente en Diagonal Orient, La Pineda, Castelldefels",2.000,€/mes,3 ,129 ,48 minutos
"Ático en La Dreta de l'Eixample, Barcelona",1.600,€/mes,1 ,68 ,  con ascensor
"Piso en calle de San Antoni Maria Claret, Barcelona, Navas, Barcelona",995,€/mes,3 ,78 ,Bajo exterior sin ascensor
"Piso en La Dreta de l'Eixample, Barcelona",3.800,€/mes,5 ,304 ,3ª planta  con ascensor
"Ático en ROVELLAT, Esplugues de Llobregat",900,€/mes,2 ,70 ,5ª planta exterior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",1.150,€/mes,1 ,45 ,Bajo  con ascensor
"Piso en calle del Doctor Bové, 72, El Carmel, Barcelona",650,€/mes,1 ,50 ,Planta -2 exterior sin ascensor
"Piso en La Dreta de l'Eixample, Barcelona",2.150,€/mes,4 ,150 ,2ª planta 
"Piso en tarragona, La Nova Esquerra de l'Eixample, Barcelona",1.300,€/mes,4 ,110 ,9ª planta exterior con ascensor
"Piso en Sant Domènec, Sant Cugat del Vallès",1.900,€/mes,4 ,120 ,Bajo  con ascensor
"Piso en calle de la Nena Casas, 58, Les Tres Torres, Barcelona",3.950,€/mes,4 ,200 ,4ª planta exterior con ascensor
"Piso en Vila de Gràcia, Barcelona",2.200,€/mes,4 ,160 ,2ª planta  con ascensor
"Piso en calle d'Hipòlit Lázaro, El Camp d'En Grassot i Gràcia Nova, Barcelona",1.099,€/mes,1 ,50 ,2ª planta exterior con ascensor
"Ático en Les Tres Torres, Barcelona",3.900,€/mes,5 ,338 ,4ª planta  con ascensor
"Piso en Can Roca-Muntanyeta, Castelldefels",1.400,€/mes,4 ,110 ,4ª planta exterior con ascensor
Casa o chalet independiente en Canovelles,9.000,€/mes,10 ,2.000 ,
"Piso en Valencia, L'Antiga Esquerra de l'Eixample, Barcelona",1.250,€/mes,2 ,50 ,5ª planta exterior con ascensor
"Piso en Sant Gervasi - Galvany, Barcelona",2.300,€/mes,2 ,78 ,3ª planta  con ascensor
"Ático en Parc Central - Colomer, Sant Cugat del Vallès",1.350,€/mes,2 ,105 ,4ª planta exterior con ascensor
"Piso en La Nova Esquerra de l'Eixample, Barcelona",1.400,€/mes,2 ,82 ,7ª planta  con ascensor
"Piso en Sant Gervasi - La Bonanova, Barcelona",2.800,€/mes,4 ,130 ,3ª planta exterior con ascensor
"Piso en Sant Gervasi - Galvany, Barcelona",2.450,€/mes,2 ,84 ,3ª planta  con ascensor
"Estudio en Amadeu Torner, 102, Santa Eulàlia, Hospitalet de Llobregat",1.025,€/mes,55 ,Bajo ,1 hora
"Piso en calle d'Aribau, Barcelona, Sant Gervasi - Galvany, Barcelona",1.250,€/mes,2 ,70 ,1ª planta exterior con ascensor
"Piso en calle de Valencia, La Nova Esquerra de l'Eixample, Barcelona",1.500,€/mes,2 ,65 ,2ª planta exterior con ascensor
"Piso en calle de Bertran, El Putxet i el Farró, Barcelona",900,€/mes,1 ,50 ,2ª planta exterior con ascensor
"Piso en Gran Via L-H, Hospitalet de Llobregat",1.350,€/mes,3 ,100 ,3ª planta exterior con ascensor
"Piso en calle del Beat Almató, El Coll, Barcelona",750,€/mes,3 ,54 ,Bajo exterior sin ascensor
